Genre,Perspective,Gameplay,Misc,title
Action,Behind view,Stealth,Licensed,Tom Clancy's Splinter Cell: Chaos Theory
Action,Behind view,"Hack and slash, Puzzle elements",,Ninja Gaiden Black
Racing / Driving,"1st-person, Diagonal-down",,,Forza Motorsport
Racing / Driving,"1st-person, Behind view",,,Project Gotham Racing 2
"Action, Racing / Driving","1st-person, Behind view",,,Burnout 3: Takedown
Action,Behind view,"Platform, Puzzle elements",,Prince of Persia: The Sands of Time
Action,Behind view,Stealth,,Tom Clancy's Splinter Cell: Pandora Tomorrow
"Action, Racing / Driving",Behind view,"Sandbox / open world, Shooter",,Grand Theft Auto: San Andreas
Role-playing (RPG),3rd-person (Other),Puzzle elements,Licensed,Star Wars: Knights of the Old Republic
Action,"1st-person, 3rd-person (Other), Diagonal-down",Hack and slash,Regional differences,Ninja Gaiden
Compilation,,,,Rockstar Games Double Pack: Grand Theft Auto
Sports,"1st-person, Diagonal-down",,Licensed,ESPN NFL 2K5
"Action, Racing / Driving","1st-person, Behind view",,,Burnout: Revenge
Sports,Diagonal-down,,Licensed,Madden NFL 2005
Sports,Diagonal-down,,Licensed,NFL 2K3
Action,"1st-person, Behind view",Shooter,,Halo 2
Action,"1st-person, Behind view",Stealth,,Tom Clancy's Splinter Cell
Sports,3rd-person (Other),Tricks / stunts,Licensed,NBA Street V3
Action,3rd-person (Other),"Arcade, Fighting",,SoulCalibur II
"Action, Strategy / tactics","1st-person, Behind view",Shooter,Licensed,Brothers in Arms: Road to Hill 30
Sports,Diagonal-down,,Licensed,Madden NFL 2004
Sports,Behind view,Tricks / stunts,,SSX 3
Racing / Driving,"1st-person, Behind view",,,RalliSport Challenge 2
Sports,"3rd-person (Other), Diagonal-down",,Licensed,World Series Baseball 2K3
Action,"1st-person, Behind view",Shooter,,Crimson Skies: High Road to Revenge
Sports,Behind view,Tricks / stunts,Licensed,Tony Hawk's Pro Skater 3
Action,"1st-person, Behind view","Puzzle elements, Shooter, Stealth",Licensed,The Chronicles of Riddick: Escape from Butcher Bay
Sports,Diagonal-down,,Licensed,ESPN NBA Basketball
Sports,"1st-person, Diagonal-down",,Licensed,ESPN NFL Football
Compilation,,,,The Elder Scrolls III: Morrowind - Game of the Year Edition
Sports,Diagonal-down,,Licensed,Madden NFL 06
Sports,Diagonal-down,Managerial / business simulation,Licensed,ESPN NHL 2K5
Sports,3rd-person (Other),Fighting,,Fight Night Round 2
Sports,Behind view,Tricks / stunts,Licensed,Tony Hawk's Pro Skater 4
Racing / Driving,"1st-person, Behind view",,,RalliSport Challenge
Role-playing (RPG),Behind view,Action RPG,,Jade Empire
Sports,,Managerial / business simulation,Licensed,NCAA Football 2003
Action,"1st-person, Behind view",Shooter,,Halo: Combat Evolved
"Action, Simulation","1st-person, 3rd-person (Other)",Shooter,"Licensed', 'Regional differences",Tom Clancy's Rainbow Six 3: Black Arrow
