title,moby_score,critics_score,player_score,xbox_score,average_score
Tom Clancy's Splinter Cell: Chaos Theory,81.0,83.0,78.0,1,80.67
Ninja Gaiden Black,89.0,94.0,82.0,2,88.33
Forza Motorsport,89.0,92.0,78.0,3,86.33
Project Gotham Racing 2,88.0,93.0,74.0,4,85.0
Burnout 3: Takedown,87.0,92.0,78.0,5,85.67
Prince of Persia: The Sands of Time,84.0,91.0,78.0,6,84.33
Tom Clancy's Splinter Cell: Pandora Tomorrow,83.0,90.0,74.0,7,82.33
Grand Theft Auto: San Andreas,84.0,93.0,78.0,8,85.0
Star Wars: Knights of the Old Republic,85.0,92.0,80.0,9,85.67
Ninja Gaiden,87.0,91.0,76.0,10,84.67
Rockstar Games Double Pack: Grand Theft Auto,84.0,94.0,68.0,11,82.0
ESPN NFL 2K5,87.0,89.0,94.0,12,90.0
Burnout: Revenge,86.0,89.0,80.0,13,85.0
Madden NFL 2005,86.0,88.0,82.0,14,85.33
NFL 2K3,86.0,90.0,80.0,15,85.33
Halo 2,82.0,89.0,72.0,16,81.0
Tom Clancy's Splinter Cell,81.0,91.0,74.0,17,82.0
NBA Street V3,87.0,89.0,78.0,18,84.67
SoulCalibur II,85.0,90.0,78.0,19,84.33
Brothers in Arms: Road to Hill 30,81.0,85.0,72.0,20,79.33
Madden NFL 2004,83.0,90.0,58.0,21,77.0
SSX 3,86.0,90.0,78.0,22,84.67
RalliSport Challenge 2,84.0,89.0,80.0,23,84.33
World Series Baseball 2K3,84.0,88.0,98.0,24,90.0
Crimson Skies: High Road to Revenge,84.0,88.0,78.0,25,83.33
Tony Hawk's Pro Skater 3,80.0,88.0,72.0,26,80.0
The Chronicles of Riddick: Escape from Butcher Bay,84.0,88.0,80.0,27,84.0
ESPN NBA Basketball,84.0,87.0,88.0,28,86.33
ESPN NFL Football,84.0,88.0,56.0,29,76.0
The Elder Scrolls III: Morrowind - Game of the Year Edition,83.0,91.0,80.0,30,84.67
Madden NFL 06,83.0,86.0,66.0,31,78.33
ESPN NHL 2K5,84.0,87.0,78.0,32,83.0
Fight Night Round 2,82.0,87.0,64.0,33,77.67
Tony Hawk's Pro Skater 4,80.0,88.0,70.0,34,79.33
RalliSport Challenge,80.0,83.0,66.0,35,76.33
Jade Empire,83.0,88.0,76.0,36,82.33
NCAA Football 2003,83.0,90.0,56.0,37,76.33
Halo: Combat Evolved,78.0,91.0,72.0,38,80.33
Tom Clancy's Rainbow Six 3: Black Arrow,83.0,85.0,90.0,39,86.0
MotoGP: Ultimate Racing Technology,80.0,84.0,64.0,40,76.0
Madden NFL 2002,86.0,90.0,64.0,41,80.0
Colin McRae Rally 04,83.0,85.0,78.0,42,82.0
Far Cry: Instincts,83.0,86.0,74.0,43,81.0
Colin McRae Rally 3,83.0,85.0,80.0,44,82.67
Tiger Woods PGA Tour 2005,83.0,86.0,76.0,45,81.67
The Elder Scrolls III: Morrowind,83.0,89.0,80.0,46,84.0
NCAA Football 2004,87.0,92.0,80.0,47,86.33
Panzer Dragoon Orta,82.0,87.0,78.0,48,82.33
Tom Clancy's Splinter Cell: Double Agent,77.0,77.0,78.0,49,77.33
ESPN NHL Hockey,82.0,86.0,72.0,50,80.0
NCAA Football 07,81.0,82.0,80.0,51,81.0
NBA 2K6,81.0,83.0,80.0,52,81.33
NBA Street Vol. 2,84.0,88.0,70.0,53,80.67
NCAA Football 2005,84.0,89.0,72.0,54,81.67
X-Men: Legends II - Rise of Apocalypse,79.0,82.0,72.0,55,77.67
Tiger Woods PGA Tour 2004,80.0,85.0,56.0,56,73.67
Brothers in Arms: Earned in Blood,79.0,81.0,74.0,57,78.0
JSRF: Jet Set Radio Future,82.0,86.0,80.0,58,82.67
NCAA Football 06,85.0,91.0,92.0,59,89.33
World Soccer: Winning Eleven 8 International,81.0,88.0,70.0,60,79.67
NHL 2K6,79.0,81.0,66.0,62,75.33
Doom³,78.0,85.0,74.0,63,79.0
Prince of Persia: The Two Thrones,79.0,81.0,78.0,64,79.33
Beyond Good & Evil,81.0,87.0,78.0,65,82.0
Top Spin,79.0,81.0,70.0,66,76.67
Metal Gear Solid 2: Substance,79.0,85.0,74.0,67,79.33
MotoGP 2,80.0,84.0,56.0,68,73.33
Amped 2,81.0,82.0,92.0,69,85.0
ESPN NBA 2K5,81.0,83.0,80.0,70,81.33
Tom Clancy's Ghost Recon 2: Summit Strike,81.0,83.0,,71,82.0
Colin McRae Rally 2005,81.0,81.0,84.0,72,82.0
Tom Clancy's Rainbow Six 3,76.0,80.0,68.0,73,74.67
Dead or Alive 3,81.0,86.0,76.0,74,81.0
MechAssault,81.0,85.0,70.0,75,78.67
Dead or Alive: Ultimate,81.0,82.0,80.0,76,81.0
MVP Baseball 2004,79.0,86.0,64.0,77,76.33
Psychonauts,79.0,86.0,76.0,78,80.33
The Incredible Hulk: Ultimate Destruction,80.0,81.0,78.0,79,79.67
MotoGP: Ultimate Racing Technology 3,79.0,83.0,56.0,80,72.67
NASCAR 2005: Chase for the Cup,82.0,87.0,80.0,81,83.0
World Soccer: Winning Eleven 9,83.0,90.0,66.0,82,79.67
Hitman 2: Silent Assassin,80.0,84.0,76.0,83,80.0
Kelly Slater's Pro Surfer,76.0,76.0,80.0,84,77.33
NHL 2004,81.0,85.0,72.0,85,79.33
OutRun 2,81.0,82.0,82.0,86,81.67
Mercenaries: Playground of Destruction,80.0,83.0,78.0,87,80.33
Silent Hill 2: Restless Dreams,81.0,81.0,82.0,88,81.33
Indigo Prophecy,79.0,84.0,76.0,89,79.67
Fable: The Lost Chapters,80.0,83.0,76.0,90,79.67
Oddworld: Stranger's Wrath,79.0,81.0,78.0,91,79.33
TimeSplitters: Future Perfect,81.0,86.0,76.0,92,81.0
TOCA Race Driver 2,82.0,85.0,78.0,93,81.67
Burnout 2: Point of Impact,82.0,88.0,72.0,94,80.67
Star Wars: Knights of the Old Republic II - The Sith Lords,81.0,83.0,80.0,95,81.33
NBA 2K2,82.0,90.0,66.0,96,79.33
Tony Hawk's Underground,78.0,85.0,70.0,97,77.67
Phantom Dust,80.0,83.0,86.0,98,83.0
Madden NFL 2003,84.0,88.0,76.0,99,82.67
NBA 2K7,83.0,84.0,90.0,100,85.67
NHL 2003,78.0,81.0,72.0,101,77.0
TOCA Race Driver 3,83.0,84.0,78.0,102,81.67
Tony Hawk's Pro Skater 2x,79.0,85.0,74.0,103,79.33
NASCAR Thunder 2002,81.0,84.0,86.0,104,83.67
World Series Baseball,79.0,84.0,86.0,105,83.0
NHL Hitz 20-03,80.0,81.0,84.0,106,81.67
Psi-Ops: The Mindgate Conspiracy,78.0,81.0,76.0,107,78.33
Tom Clancy's Ghost Recon,77.0,83.0,70.0,108,76.67
Max Payne,83.0,88.0,82.0,109,84.33
Tom Clancy's Ghost Recon 2: 2011 - Final Assault,79.0,81.0,78.0,110,79.33
Midnight Club 3: DUB Edition Remix,79.0,86.0,80.0,111,81.67
FIFA Soccer 2003,78.0,82.0,70.0,112,76.67
007: Everything or Nothing,80.0,83.0,76.0,113,79.67
Unreal Championship,79.0,85.0,62.0,114,75.33
Guilty Gear X2: The Midnight Carnival #Reload,78.0,85.0,70.0,115,77.67
ESPN College Hoops 2K5,74.0,77.0,,116,75.5
Major League Baseball 2K5,79.0,81.0,86.0,117,82.0
NBA 2K3,80.0,83.0,78.0,118,80.33
Fable,79.0,82.0,78.0,119,79.67
Steel Battalion,79.0,81.0,80.0,120,80.0
Conker: Live & Reloaded,79.0,81.0,78.0,121,79.33
Shenmue II,84.0,88.0,82.0,122,84.67
NBA Live 2005,79.0,83.0,64.0,123,75.33
NFL 2K2,82.0,90.0,60.0,124,77.33
TimeSplitters 2,82.0,89.0,76.0,125,82.33
Amped: Freestyle Snowboarding,79.0,83.0,74.0,126,78.67
Midnight Club 3: DUB Edition,79.0,80.0,80.0,127,79.67
Project Gotham Racing,79.0,83.0,76.0,128,79.33
Rayman 3: Hoodlum Havoc,80.0,78.0,84.0,129,80.67
LEGO Star Wars II: The Original Trilogy,80.0,81.0,78.0,130,79.67
Capcom Classics Collection,79.0,81.0,80.0,131,80.0
Metal Arms: Glitch in the System,78.0,78.0,82.0,132,79.33
NHL 2K3,80.0,84.0,74.0,133,79.33
Fight Night 2004,78.0,81.0,70.0,134,76.33
Tony Hawk's American Wasteland,75.0,77.0,72.0,135,74.67
