title,link
"[""Tom Clancy's Splinter Cell: Chaos Theory""]",['https://www.mobygames.com/game/20691/tom-clancys-splinter-cell-chaos-theory/']
['Ninja Gaiden Black'],['https://www.mobygames.com/game/22361/ninja-gaiden-black/']
['Forza Motorsport'],['https://www.mobygames.com/game/18696/forza-motorsport/']
['Project Gotham Racing 2'],['https://www.mobygames.com/game/11216/project-gotham-racing-2/']
['Burnout 3: Takedown'],['https://www.mobygames.com/game/14831/burnout-3-takedown/']
['Prince of Persia: The Sands of Time'],['https://www.mobygames.com/game/11185/prince-of-persia-the-sands-of-time/']
"[""Tom Clancy's Splinter Cell: Pandora Tomorrow""]",['https://www.mobygames.com/game/12671/tom-clancys-splinter-cell-pandora-tomorrow/']
['Grand Theft Auto: San Andreas'],['https://www.mobygames.com/game/15393/grand-theft-auto-san-andreas/']
['Star Wars: Knights of the Old Republic'],['https://www.mobygames.com/game/9734/star-wars-knights-of-the-old-republic/']
['Ninja Gaiden'],['https://www.mobygames.com/game/16619/ninja-gaiden/']
['Rockstar Games Double Pack: Grand Theft Auto'],['https://www.mobygames.com/game/10749/rockstar-games-double-pack-grand-theft-auto/']
['ESPN NFL 2K5'],['https://www.mobygames.com/game/14152/espn-nfl-2k5/']
['Burnout: Revenge'],['https://www.mobygames.com/game/19356/burnout-revenge/']
['Madden NFL 2005'],['https://www.mobygames.com/game/73287/madden-nfl-2005/']
['NFL 2K3'],['https://www.mobygames.com/game/7353/nfl-2k3/']
['Halo 2'],['https://www.mobygames.com/game/15499/halo-2/']
"[""Tom Clancy's Splinter Cell""]",['https://www.mobygames.com/game/7780/tom-clancys-splinter-cell/']
['NBA Street V3'],['https://www.mobygames.com/game/23801/nba-street-v3/']
['SoulCalibur II'],['https://www.mobygames.com/game/10183/soulcalibur-ii/']
['Brothers in Arms: Road to Hill 30'],['https://www.mobygames.com/game/17000/brothers-in-arms-road-to-hill-30/']
['Madden NFL 2004'],['https://www.mobygames.com/game/10021/madden-nfl-2004/']
['SSX 3'],['https://www.mobygames.com/game/10751/ssx-3/']
['RalliSport Challenge 2'],['https://www.mobygames.com/game/15556/rallisport-challenge-2/']
['World Series Baseball 2K3'],['https://www.mobygames.com/game/8726/world-series-baseball-2k3/']
['Crimson Skies: High Road to Revenge'],['https://www.mobygames.com/game/10832/crimson-skies-high-road-to-revenge/']
"[""Tony Hawk's Pro Skater 3""]",['https://www.mobygames.com/game/5279/tony-hawks-pro-skater-3/']
['The Chronicles of Riddick: Escape from Butcher Bay'],['https://www.mobygames.com/game/13531/the-chronicles-of-riddick-escape-from-butcher-bay/']
['ESPN NBA Basketball'],['https://www.mobygames.com/game/11234/espn-nba-basketball/']
['ESPN NFL Football'],['https://www.mobygames.com/game/10299/espn-nfl-football/']
['The Elder Scrolls III: Morrowind - Game of the Year Edition'],['https://www.mobygames.com/game/11430/the-elder-scrolls-iii-morrowind-game-of-the-year-edition/']
['Madden NFL 06'],['https://www.mobygames.com/game/18905/madden-nfl-06/']
['ESPN NHL 2K5'],['https://www.mobygames.com/game/14672/espn-nhl-2k5/']
['Fight Night Round 2'],['https://www.mobygames.com/game/17084/fight-night-round-2/']
"[""Tony Hawk's Pro Skater 4""]",['https://www.mobygames.com/game/7580/tony-hawks-pro-skater-4/']
['RalliSport Challenge'],['https://www.mobygames.com/game/5677/rallisport-challenge/']
['Jade Empire'],['https://www.mobygames.com/game/17863/jade-empire/']
['NCAA Football 2003'],['https://www.mobygames.com/game/7043/ncaa-football-2003/']
['Halo: Combat Evolved'],['https://www.mobygames.com/game/5368/halo-combat-evolved/']
"[""Tom Clancy's Rainbow Six 3: Black Arrow""]",['https://www.mobygames.com/game/19242/tom-clancys-rainbow-six-3-black-arrow/']
['MotoGP: Ultimate Racing Technology'],['https://www.mobygames.com/game/40791/motogp-ultimate-racing-technology/']
['Madden NFL 2002'],['https://www.mobygames.com/game/5163/madden-nfl-2002/']
['Colin McRae Rally 04'],['https://www.mobygames.com/game/10434/colin-mcrae-rally-04/']
['Far Cry: Instincts'],['https://www.mobygames.com/game/19775/far-cry-instincts/']
['Colin McRae Rally 3'],['https://www.mobygames.com/game/8684/colin-mcrae-rally-3/']
['Tiger Woods PGA Tour 2005'],['https://www.mobygames.com/game/15403/tiger-woods-pga-tour-2005/']
['The Elder Scrolls III: Morrowind'],['https://www.mobygames.com/game/6280/the-elder-scrolls-iii-morrowind/']
['NCAA Football 2004'],['https://www.mobygames.com/game/15623/ncaa-football-2004/']
['Panzer Dragoon Orta'],['https://www.mobygames.com/game/8522/panzer-dragoon-orta/']
"[""Tom Clancy's Splinter Cell: Double Agent""]",['https://www.mobygames.com/game/25576/tom-clancys-splinter-cell-double-agent/']
['ESPN NHL Hockey'],['https://www.mobygames.com/game/10360/espn-nhl-hockey/']
['NCAA Football 07'],['https://www.mobygames.com/game/34727/ncaa-football-07/']
['NBA 2K6'],['https://www.mobygames.com/game/35686/nba-2k6/']
['NBA Street Vol. 2'],['https://www.mobygames.com/game/9208/nba-street-vol-2/']
['NCAA Football 2005'],['https://www.mobygames.com/game/16406/ncaa-football-2005/']
['X-Men: Legends II - Rise of Apocalypse'],['https://www.mobygames.com/game/19785/x-men-legends-ii-rise-of-apocalypse/']
['Tiger Woods PGA Tour 2004'],['https://www.mobygames.com/game/10424/tiger-woods-pga-tour-2004/']
['Brothers in Arms: Earned in Blood'],['https://www.mobygames.com/game/19450/brothers-in-arms-earned-in-blood/']
['JSRF: Jet Set Radio Future'],['https://www.mobygames.com/game/5856/jsrf-jet-set-radio-future/']
