Genre,Perspective,Gameplay,Interface,Setting,Narrative,Misc,Vehicular,Pacing,Visual,Sport,Art,Special Edition,Educational,title
['Action'],['Behind view'],['Stealth'],['Direct control'],"['Asia', 'North America']",['Spy / espionage'],['Licensed'],,,,,,,,"[""Tom Clancy's Splinter Cell: Chaos Theory""]"
['Action'],['Behind view'],"['Hack and slash', 'Puzzle elements']",,,,,,,,,,,,['Ninja Gaiden Black']
['Racing / Driving'],"['1st-person', 'Diagonal-down']",,['Direct control'],,,,"['Automobile', 'Street racing']",,,,,,,['Forza Motorsport']
['Racing / Driving'],"['1st-person', 'Behind view']",,['Direct control'],,,,"['Automobile', 'Street racing']",,,,,,,['Project Gotham Racing 2']
"['Action', 'Racing / Driving']","['1st-person', 'Behind view']",,['Direct control'],,,,"['Automobile', 'Street racing']",,,,,,,['Burnout 3: Takedown']
['Action'],['Behind view'],"['Platform', 'Puzzle elements']",,"['Fantasy', 'Middle East']",,,,,,,,,,['Prince of Persia: The Sands of Time']
['Action'],['Behind view'],['Stealth'],['Direct control'],"['Europe', 'Middle East', 'North America']",['Spy / espionage'],,,,,,,,,"[""Tom Clancy's Splinter Cell: Pandora Tomorrow""]"
"['Action', 'Racing / Driving']",['Behind view'],"['Sandbox / open world', 'Shooter']",['Direct control'],['Contemporary'],['Crime'],,"['Automobile', 'Street racing']",,,,,,,['Grand Theft Auto: San Andreas']
['Role-playing (RPG)'],['3rd-person (Other)'],['Puzzle elements'],,['Sci-fi / futuristic'],,['Licensed'],,['Real-time'],,,,,,['Star Wars: Knights of the Old Republic']
['Action'],"['1st-person', '3rd-person (Other)', 'Diagonal-down']",['Hack and slash'],['Direct control'],"['Japan (Ancient/Classical/Medieval)', 'Medieval']",['Martial arts'],['Regional differences'],,,['Cinematic camera'],,,,,['Ninja Gaiden']
['Compilation'],,,,,,,,,,,,,,['Rockstar Games Double Pack: Grand Theft Auto']
['Sports'],"['1st-person', 'Diagonal-down']",,"['Direct control', 'Multiple units/characters control']",,,['Licensed'],,,,['Football (American)'],,,,['ESPN NFL 2K5']
