title,credits,xbox_release_date,publishers,developers
Tom Clancy's Splinter Cell: Chaos Theory,208 people,2005,"['Ubisoft Entertainment SA', 'Russobit-M', 'Game Factory Interactive Ltd.', 'ak tronic Software & Services GmbH']",['Ubisoft Entertainment Inc.']
Ninja Gaiden Black,345 people,2005,"['Tecmo, Inc.', 'Tecmo, Ltd.', 'Microsoft Corporation']",['Team Ninja']
Forza Motorsport,197 people,,['Microsoft Corporation'],['Turn 10 Studios']
Project Gotham Racing 2,198 people,,['Microsoft Corporation'],"['Bizarre Creations, Ltd.']"
Burnout 3: Takedown,242 people,2004,"['Electronic Arts, Inc.']",['Criterion Software Ltd.']
Prince of Persia: The Sands of Time,250 people,2003,"['Ubisoft Entertainment SA', 'Akella', 'Wizard Soft Ltd.', 'S.A.D. Software Vertriebs- und Produktions GmbH']",['Ubisoft Entertainment Inc.']
Tom Clancy's Splinter Cell: Pandora Tomorrow,431 people,2004,"['Ubisoft Entertainment SA', 'NMG', 'ak tronic Software & Services GmbH', 'Game Factory Interactive Ltd.']","['Shanghai UBIsoft Computer Software Co., Ltd.', 'Ubisoft Annecy SAS']"
Grand Theft Auto: San Andreas,780 people,2005,"['Rockstar Games, Inc.', 'Capcom Co., Ltd.', 'ak tronic Software & Services GmbH', '1C Company']",['Rockstar North Ltd.']
Star Wars: Knights of the Old Republic,293 people,2003,"['LucasArts', 'Aspyr Media, Inc.', 'Disney Interactive']",['BioWare Corporation']
Ninja Gaiden,227 people,,"['Tecmo, Inc.', 'Tecmo, Ltd.', 'Microsoft Corporation']",['Team Ninja']
Rockstar Games Double Pack: Grand Theft Auto,304 people,2003,"['Rockstar Games, Inc.', 'Capcom Co., Ltd.']",['Rockstar North Ltd.']
ESPN NFL 2K5,324 people,2004,"['SEGA of America, Inc.', 'Global Star Software Inc.', 'SEGA Europe Ltd.']","['Visual Concepts Entertainment, Inc.']"
Burnout: Revenge,505 people,2005,"['Electronic Arts, Inc.']",['Criterion Software Ltd.']
Madden NFL 2005,456 people,2004,"['Electronic Arts, Inc.']",['EA Tiburon']
NFL 2K3,141 people,2002,"['SEGA of America, Inc.', 'SEGA Corporation', 'SEGA Europe Ltd.']","['Visual Concepts Entertainment, Inc.']"
Halo 2,182 people,2004,['Microsoft Corporation'],['Bungie Studios']
Tom Clancy's Splinter Cell,106 people,2002,"['Ubi Soft Entertainment Software', 'Media-Service 2000', 'Aspyr Media, Inc.']",['Ubi Soft Entertainment Inc.']
NBA Street V3,252 people,2005,"['Electronic Arts, Inc.']",['Electronic Arts Canada']
SoulCalibur II,1 person,2003,"['Namco Limited', 'Namco Europe Limited', 'Namco Hometek Inc.', 'Nintendo Co., Ltd.']",['Project Soul']
Brothers in Arms: Road to Hill 30,361 people,2005,"['Ubisoft Entertainment SA', 'Buka Entertainment', 'ak tronic Software & Services GmbH']",['Gearbox Software LLC']
Madden NFL 2004,178 people,2003,"['Electronic Arts, Inc.']",['EA Tiburon']
SSX 3,301 people,2003,"['Electronic Arts, Inc.']",['Electronic Arts Canada']
RalliSport Challenge 2,139 people,,['Microsoft Corporation'],['Digital Illusions CE AB']
World Series Baseball 2K3,181 people,2003,"['SEGA of America, Inc.']","['Visual Concepts Entertainment, Inc.', 'Blue Shift, Inc.', 'Exile Interactive Inc.']"
Crimson Skies: High Road to Revenge,280 people,2003,['Microsoft Corporation'],['FASA Studio']
Tony Hawk's Pro Skater 3,228 people,2002,"['Activision Publishing, Inc.', 'Success Corp.', 'Aspyr Media, Inc.']","['Neversoft Entertainment, Inc.']"
The Chronicles of Riddick: Escape from Butcher Bay,308 people,2004,"['Vivendi Universal Games, Inc.', 'Sierra Entertainment, Inc.']","['Starbreeze Studios AB', 'Tigon Studios']"
ESPN NBA Basketball,141 people,2003,"['SEGA of America, Inc.', 'SEGA Europe Ltd.']","['Visual Concepts Entertainment, Inc.']"
ESPN NFL Football,197 people,2003,"['SEGA of America, Inc.', 'SEGA Europe Ltd.']","['Visual Concepts Entertainment, Inc.']"
The Elder Scrolls III: Morrowind - Game of the Year Edition,118 people,2003,"['Ubisoft Entertainment SA', 'Bethesda Softworks LLC', 'Mastertronic Group Ltd.', 'EMME Interactive SA', 'ak tronic Software & Services GmbH', 'ZeniMax Europe Ltd.']",[]
Madden NFL 06,372 people,2005,"['Electronic Arts, Inc.', 'Mastertronic Games Ltd.']",['EA Tiburon']
ESPN NHL 2K5,312 people,2004,"['SEGA of America, Inc.', 'Global Star Software Inc.', 'SEGA Europe Ltd.']","['Kush Games, Inc.']"
Fight Night Round 2,211 people,2005,"['Electronic Arts, Inc.']",['Electronic Arts Chicago']
Tony Hawk's Pro Skater 4,269 people,2002,"['Activision Publishing, Inc.', 'Aspyr Media, Inc.', 'Capcom Co., Ltd.', 'Russobit-M']","['Neversoft Entertainment, Inc.']"
RalliSport Challenge,248 people,2002,"['Microsoft Corporation', 'Atari, Inc.', 'Empire Interactive Europe Ltd.']",['Digital Illusions CE AB']
Jade Empire,395 people,2005,"['Microsoft Corporation', 'Electronic Arts, Inc.']",['BioWare Corporation']
NCAA Football 2003,165 people,2002,"['Electronic Arts, Inc.']",['EA Tiburon']
Halo: Combat Evolved,185 people,2001,"['Microsoft Corporation', 'MacSoft']",['Bungie Studios']
Tom Clancy's Rainbow Six 3: Black Arrow,147 people,,['Ubisoft Entertainment SA'],"['Ubisoft Entertainment Inc.', 'Ubisoft Studios SRL']"
MotoGP: Ultimate Racing Technology,104 people,2002,['THQ Inc.'],['Climax (Brighton) Ltd']
Madden NFL 2002,246 people,2001,"['Electronic Arts, Inc.']",['EA Tiburon']
Colin McRae Rally 04,93 people,2003,"['Codemasters Software Company Limited, The', 'Mastertronic Games Ltd.']","['Codemasters Software Company Limited, The']"
Far Cry: Instincts,413 people,,['Ubisoft Entertainment SA'],"['Ubisoft Entertainment Inc.', 'Crytek GmbH']"
Colin McRae Rally 3,157 people,2002,"['Codemasters Software Company Limited, The', 'ak tronic Software & Services GmbH', 'Sold Out Sales & Marketing Ltd.']","['Codemasters Software Company Limited, The']"
Tiger Woods PGA Tour 2005,226 people,2004,"['Electronic Arts, Inc.', 'Aspyr Media, Inc.']","['Electronic Arts Redwood Shores Studio', 'Headgate Studios Inc.']"
The Elder Scrolls III: Morrowind,118 people,2002,"['Ubi Soft Entertainment Software', 'Bethesda Softworks LLC', '1C Company', 'Red Ant Enterprises Pty Ltd.']",['Bethesda Game Studios']
NCAA Football 2004,175 people,2003,"['Electronic Arts, Inc.']",['EA Tiburon']
Panzer Dragoon Orta,209 people,2002,"['SEGA Corporation', 'SEGA of America, Inc.', 'SEGA Europe Ltd.']",['Smilebit']
Tom Clancy's Splinter Cell: Double Agent,538 people,2006,"['Ubisoft Entertainment SA', 'ak tronic Software & Services GmbH']","['Ubisoft Entertainment Inc.', 'Shanghai UBIsoft Computer Software Co., Ltd.']"
ESPN NHL Hockey,141 people,2003,"['SEGA of America, Inc.', 'SEGA Europe Ltd.']","['Kush Games, Inc.']"
NCAA Football 07,71 people,2006,"['Electronic Arts, Inc.']","['EA Tiburon', 'Team Fusion']"
NBA 2K6,284 people,2005,"['2K Games, Inc.', 'Take-Two Interactive Software Europe Ltd.']","['Visual Concepts Entertainment, Inc.']"
NBA Street Vol. 2,371 people,2003,"['Electronic Arts, Inc.']","['Electronic Arts Canada', 'NuFX, Inc.']"
NCAA Football 2005,Contribute,2004,"['Electronic Arts, Inc.']",['EA Tiburon']
X-Men: Legends II - Rise of Apocalypse,363 people,2005,"['Activision Publishing, Inc.']","['Raven Software Corporation', 'SuperVillain Studios, Inc.', 'Vicarious Visions, Inc.']"
Tiger Woods PGA Tour 2004,328 people,2003,"['Electronic Arts, Inc.']","['Electronic Arts Redwood Shores Studio', 'Headgate Studios Inc.']"
Brothers in Arms: Earned in Blood,327 people,2005,"['Ubisoft Entertainment SA', 'Buka Entertainment', 'ak tronic Software & Services GmbH']",['Gearbox Software LLC']
JSRF: Jet Set Radio Future,225 people,,"['SEGA Corporation', 'SEGA of America, Inc.', 'SEGA Europe Ltd.']",['Smilebit']
NCAA Football 06,Contribute,2005,"['Electronic Arts, Inc.']",['EA Tiburon']
World Soccer: Winning Eleven 8 International,182 people,2004,"['Konami of Europe GmbH', 'Konami Digital Entertainment, Inc.']","['Konami Computer Entertainment Tokyo, Inc.']"
NHL 2K6,282 people,2005,"['2K Games, Inc.']","['Kush Games, Inc.']"
Doom³,141 people,2005,"['Activision Publishing, Inc.', 'id Software, Inc.', '1C Company', 'Aspyr Media, Inc.', 'ak tronic Software & Services GmbH']","['id Software, Inc.']"
Prince of Persia: The Two Thrones,643 people,2005,"['Ubisoft Entertainment SA', 'Akella', 'ak tronic Software & Services GmbH', 'Mastertronic Group Ltd.']",['Ubisoft Entertainment Inc.']
Beyond Good & Evil,318 people,2003,"['Ubisoft Entertainment SA', 'Buka Entertainment', 'Focus Multimedia Ltd.', 'Novitas Vertriebs GmbH']",['Ubisoft Pictures SAS']
Top Spin,143 people,2003,"['Microsoft Corporation', 'Atari, Inc.', '2K Games, Inc.']","['Indie Built, Inc.', 'Power and Magic Development']"
Metal Gear Solid 2: Substance,214 people,2002,"['Konami of America, Inc.', 'Konami Corporation', 'Konami of Europe GmbH', 'Konami Digital Entertainment Co., Ltd.', 'Konami Shield']","['Konami Computer Entertainment Japan, Inc.']"
MotoGP 2,98 people,2003,"['THQ Inc.', 'Microsoft Corporation']",['Climax (Brighton) Ltd']
Amped 2,155 people,,['Microsoft Corporation'],"['Access Software, Inc.']"
ESPN NBA 2K5,278 people,2004,"['SEGA of America, Inc.', 'SEGA Corporation', 'Global Star Software Inc.']","['Visual Concepts Entertainment, Inc.']"
Tom Clancy's Ghost Recon 2: Summit Strike,Contribute,,['Ubisoft Entertainment SA'],"['Red Storm Entertainment, Inc.']"
Colin McRae Rally 2005,124 people,2004,"['Codemasters Software Company Limited, The', 'Codemasters GmbH', '1C Company', 'Feral Interactive Ltd.', 'Mastertronic Games Ltd.']","['Codemasters Software Company Limited, The']"
Tom Clancy's Rainbow Six 3,167 people,2003,['Ubisoft Entertainment SA'],['Ubisoft Entertainment Inc.']
Dead or Alive 3,261 people,2001,"['Tecmo, Inc.', 'Microsoft Corporation', 'Tecmo, Ltd.']",['Team Ninja']
MechAssault,163 people,,['Microsoft Corporation'],"['Day:1:Studios, LLC']"
Dead or Alive: Ultimate,155 people,2004,"['Tecmo, Inc.', 'Tecmo, Ltd.', 'Koei Tecmo Games Co., Ltd.']",['Team Ninja']
MVP Baseball 2004,358 people,2004,"['Electronic Arts, Inc.']",['Electronic Arts Canada']
Psychonauts,257 people,2005,"['Majesco Entertainment Company', 'Buka Entertainment', 'Double Fine Productions, Inc.', 'Adventure Company, The', 'Microsoft Corporation']","['Double Fine Productions, Inc.']"
