title,moby_score,critics_score,player_score,xbox_score
Tom Clancy's Splinter Cell: Chaos Theory,"
    8.1
  ","
        83%
        ",3.9 stars,#1
Ninja Gaiden Black,"
    8.9
  ","
        94%
        ",4.1 stars,#2
Forza Motorsport,"
    8.9
  ","
        92%
        ",3.9 stars,#3
Project Gotham Racing 2,"
    8.8
  ","
        93%
        ",3.7 stars,#4
Burnout 3: Takedown,"
    8.7
  ","
        92%
        ",3.9 stars,#5
Prince of Persia: The Sands of Time,"
    8.4
  ","
        91%
        ",3.9 stars,#6
Tom Clancy's Splinter Cell: Pandora Tomorrow,"
    8.3
  ","
        90%
        ",3.7 stars,#7
Grand Theft Auto: San Andreas,"
    8.4
  ","
        93%
        ",3.9 stars,#8
Star Wars: Knights of the Old Republic,"
    8.5
  ","
        92%
        ",4 stars,#9
Ninja Gaiden,"
    8.7
  ","
        91%
        ",3.8 stars,#10
Rockstar Games Double Pack: Grand Theft Auto,"
    8.4
  ","
        94%
        ",3.4 stars,#11
ESPN NFL 2K5,"
    8.7
  ","
        89%
        ",4.7 stars,#12
Burnout: Revenge,"
    8.6
  ","
        89%
        ",4 stars,#13
Madden NFL 2005,"
    8.6
  ","
        88%
        ",4.1 stars,#14
NFL 2K3,"
    8.6
  ","
        90%
        ",4 stars,#15
Halo 2,"
    8.2
  ","
        89%
        ",3.6 stars,#16
Tom Clancy's Splinter Cell,"
    8.1
  ","
        91%
        ",3.7 stars,#17
NBA Street V3,"
    8.7
  ","
        89%
        ",3.9 stars,#18
SoulCalibur II,"
    8.5
  ","
        90%
        ",3.9 stars,#19
Brothers in Arms: Road to Hill 30,"
    8.1
  ","
        85%
        ",3.6 stars,#20
Madden NFL 2004,"
    8.3
  ","
        90%
        ",2.9 stars,#21
SSX 3,"
    8.6
  ","
        90%
        ",3.9 stars,#22
RalliSport Challenge 2,"
    8.4
  ","
        89%
        ",4 stars,#23
World Series Baseball 2K3,"
    8.4
  ","
        88%
        ",4.9 stars,#24
Crimson Skies: High Road to Revenge,"
    8.4
  ","
        88%
        ",3.9 stars,#25
Tony Hawk's Pro Skater 3,"
    8.0
  ","
        88%
        ",3.6 stars,#26
The Chronicles of Riddick: Escape from Butcher Bay,"
    8.4
  ","
        88%
        ",4 stars,#27
ESPN NBA Basketball,"
    8.4
  ","
        87%
        ",4.4 stars,#28
ESPN NFL Football,"
    8.4
  ","
        88%
        ",2.8 stars,#29
The Elder Scrolls III: Morrowind - Game of the Year Edition,"
    8.3
  ","
        91%
        ",4 stars,#30
Madden NFL 06,"
    8.3
  ","
        86%
        ",3.3 stars,#31
ESPN NHL 2K5,"
    8.4
  ","
        87%
        ",3.9 stars,#32
Fight Night Round 2,"
    8.2
  ","
        87%
        ",3.2 stars,#33
Tony Hawk's Pro Skater 4,"
    8.0
  ","
        88%
        ",3.5 stars,#34
